Date,Rate,"ISO Code From","ISO Code To"
"11/24/2021 Wednesday",83.95820,EUR,RUB
"11/25/2021 Thursday",83.57800,EUR,RUB
"11/26/2021 Friday",85.53925,EUR,RUB
"11/29/2021 Monday",84.19180,EUR,RUB
"11/30/2021 Tuesday",83.79250,EUR,RUB
"12/1/2021 Wednesday",84.10350,EUR,RUB
"12/2/2021 Thursday",83.13560,EUR,RUB
"12/3/2021 Friday",83.67060,EUR,RUB
"12/6/2021 Monday",83.91820,EUR,RUB
"12/7/2021 Tuesday",83.41570,EUR,RUB
"12/8/2021 Wednesday",83.42670,EUR,RUB
"12/9/2021 Thursday",83.19500,EUR,RUB
"12/10/2021 Friday",83.06465,EUR,RUB
"12/13/2021 Monday",82.99410,EUR,RUB
"12/14/2021 Tuesday",82.94820,EUR,RUB
"12/15/2021 Wednesday",83.19360,EUR,RUB
"12/16/2021 Thursday",83.62310,EUR,RUB
"12/17/2021 Friday",83.34980,EUR,RUB
"12/20/2021 Monday",83.63830,EUR,RUB
"12/21/2021 Tuesday",83.49490,EUR,RUB
"12/22/2021 Wednesday",83.53385,EUR,RUB
"12/23/2021 Thursday",83.11720,EUR,RUB
"12/24/2021 Friday",83.41020,EUR,RUB
"12/27/2021 Monday",83.09720,EUR,RUB
"12/28/2021 Tuesday",83.33540,EUR,RUB
"12/29/2021 Wednesday",83.93380,EUR,RUB
"12/30/2021 Thursday",84.69690,EUR,RUB
"12/31/2021 Friday",85.05660,EUR,RUB
"1/3/2022 Monday",84.12820,EUR,RUB
"1/4/2022 Tuesday",84.97550,EUR,RUB
"1/5/2022 Wednesday",86.93690,EUR,RUB
"1/6/2022 Thursday",86.28600,EUR,RUB
"1/7/2022 Friday",86.04105,EUR,RUB
"1/10/2022 Monday",84.76220,EUR,RUB
"1/11/2022 Tuesday",84.66270,EUR,RUB
"1/12/2022 Wednesday",85.34530,EUR,RUB
"1/13/2022 Thursday",87.53530,EUR,RUB
"1/14/2022 Friday",87.02910,EUR,RUB
"1/17/2022 Monday",86.91990,EUR,RUB
"1/18/2022 Tuesday",87.04440,EUR,RUB
"1/19/2022 Wednesday",86.40450,EUR,RUB
"1/20/2022 Thursday",86.72300,EUR,RUB
"1/21/2022 Friday",88.01455,EUR,RUB
"1/24/2022 Monday",88.96840,EUR,RUB
"1/25/2022 Tuesday",89.01930,EUR,RUB
"1/26/2022 Wednesday",88.87360,EUR,RUB
"1/27/2022 Thursday",87.21600,EUR,RUB
"1/28/2022 Friday",87.17090,EUR,RUB
"1/31/2022 Monday",86.99720,EUR,RUB
"2/1/2022 Tuesday",86.68130,EUR,RUB
"2/2/2022 Wednesday",86.09070,EUR,RUB
"2/3/2022 Thursday",87.41315,EUR,RUB
"2/4/2022 Friday",86.73365,EUR,RUB
"2/7/2022 Monday",86.23930,EUR,RUB
"2/8/2022 Tuesday",85.72810,EUR,RUB
"2/9/2022 Wednesday",85.36640,EUR,RUB
"2/10/2022 Thursday",85.74050,EUR,RUB
"2/11/2022 Friday",87.72040,EUR,RUB
"2/14/2022 Monday",86.57250,EUR,RUB
"2/15/2022 Tuesday",85.71545,EUR,RUB
"2/16/2022 Wednesday",85.41930,EUR,RUB
"2/17/2022 Thursday",86.53710,EUR,RUB
"2/18/2022 Friday",87.58040,EUR,RUB
"2/21/2022 Monday",90.82990,EUR,RUB
"2/22/2022 Tuesday",89.28460,EUR,RUB
"2/23/2022 Wednesday",91.90490,EUR,RUB
"2/24/2022 Thursday",94.90880,EUR,RUB
"2/25/2022 Friday",94.52295,EUR,RUB
"2/28/2022 Monday",122.31150,EUR,RUB
"3/1/2022 Tuesday",122.82190,EUR,RUB
"3/2/2022 Wednesday",114.51370,EUR,RUB
"3/3/2022 Thursday",121.66080,EUR,RUB
"3/4/2022 Friday",135.29600,EUR,RUB
"3/7/2022 Monday",148.37540,EUR,RUB
"3/8/2022 Tuesday",141.79980,EUR,RUB
"3/9/2022 Wednesday",144.24090,EUR,RUB
"3/10/2022 Thursday",144.23960,EUR,RUB
"3/11/2022 Friday",144.23500,EUR,RUB
"3/14/2022 Monday",144.84310,EUR,RUB
"3/15/2022 Tuesday",144.84150,EUR,RUB
"3/16/2022 Wednesday",144.83630,EUR,RUB
"3/17/2022 Thursday",144.79090,EUR,RUB
"3/18/2022 Friday",144.73950,EUR,RUB
"3/21/2022 Monday",144.84250,EUR,RUB
"3/22/2022 Tuesday",144.84170,EUR,RUB
"3/23/2022 Wednesday",144.84470,EUR,RUB
"3/24/2022 Thursday",144.76750,EUR,RUB
"3/25/2022 Friday",144.66490,EUR,RUB
"3/28/2022 Monday",111.10700,EUR,RUB
"3/29/2022 Tuesday",97.75710,EUR,RUB
"3/30/2022 Wednesday",93.48360,EUR,RUB
"3/31/2022 Thursday",90.96260,EUR,RUB
"4/1/2022 Friday",91.85610,EUR,RUB
"4/4/2022 Monday",94.06710,EUR,RUB
"4/5/2022 Tuesday",93.24500,EUR,RUB
"4/6/2022 Wednesday",98.20800,EUR,RUB
"4/7/2022 Thursday",87.16000,EUR,RUB
"4/8/2022 Friday",85.99940,EUR,RUB
"4/11/2022 Monday",87.29600,EUR,RUB
"4/12/2022 Tuesday",91.28280,EUR,RUB
"4/13/2022 Wednesday",87.69870,EUR,RUB
"4/14/2022 Thursday",89.42100,EUR,RUB
"4/15/2022 Friday",89.42100,EUR,RUB
"4/18/2022 Monday",89.42100,EUR,RUB
"4/19/2022 Tuesday",85.27260,EUR,RUB
"4/20/2022 Wednesday",87.14350,EUR,RUB
"4/21/2022 Thursday",87.20800,EUR,RUB
"4/22/2022 Friday",83.82400,EUR,RUB
"4/25/2022 Monday",79.35760,EUR,RUB
"4/26/2022 Tuesday",78.05890,EUR,RUB
"4/27/2022 Wednesday",79.58250,EUR,RUB
"4/28/2022 Thursday",76.11050,EUR,RUB
"4/29/2022 Friday",76.06800,EUR,RUB
"5/2/2022 Monday",76.06800,EUR,RUB
"5/3/2022 Tuesday",76.06800,EUR,RUB
"5/4/2022 Wednesday",71.94760,EUR,RUB
"5/5/2022 Thursday",70.47010,EUR,RUB
"5/6/2022 Friday",70.94630,EUR,RUB
"5/9/2022 Monday",70.94630,EUR,RUB
"5/10/2022 Tuesday",70.94630,EUR,RUB
"5/11/2022 Wednesday",71.71280,EUR,RUB
"5/12/2022 Thursday",67.84050,EUR,RUB
"5/13/2022 Friday",66.48320,EUR,RUB
"5/16/2022 Monday",67.31220,EUR,RUB
"5/17/2022 Tuesday",68.35400,EUR,RUB
"5/18/2022 Wednesday",68.89290,EUR,RUB
"5/19/2022 Thursday",67.37920,EUR,RUB
"5/20/2022 Friday",63.65400,EUR,RUB
"5/23/2022 Monday",62.98840,EUR,RUB
